Index,Date,Word
426,8/19/2022,SHRUG
425,8/18/2022,TWANG
424,8/17/2022,TWICE
423,8/16/2022,GRUEL
422,8/15/2022,POKER
421,8/14/2022,KHAKI
420,8/13/2022,HUNKY
419,8/12/2022,LABEL
418,8/11/2022,GLEAN
417,8/10/2022,CLING
416,8/9/2022,PATTY
415,8/8/2022,UNFIT
414,8/7/2022,SMEAR
413,8/6/2022,ALIEN
412,8/5/2022,BUGGY
411,8/4/2022,RHYME
410,8/3/2022,YOUTH
409,8/2/2022,COYLY
408,8/1/2022,QUART
407,7/31/2022,CRAMP
406,7/30/2022,BLUFF
405,7/29/2022,UPSET
404,7/28/2022,STOMP
403,7/27/2022,MOTTO
402,7/26/2022,CINCH
401,7/25/2022,ELOPE
400,7/24/2022,POWER
399,7/23/2022,MIDGE
398,7/22/2022,TRYST
397,7/21/2022,APHID
396,7/20/2022,TRITE
395,7/19/2022,ANGRY
394,7/18/2022,FLOCK
393,7/17/2022,WACKY
392,7/16/2022,ROOMY
391,7/15/2022,WEDGE
390,7/14/2022,LIVER
389,7/13/2022,BLAND
388,7/12/2022,NIGHT
387,7/11/2022,MADAM
386,7/10/2022,BERTH
385,7/9/2022,STEAD
384,7/8/2022,VOICE
383,7/7/2022,AGAPE
382,7/6/2022,FLUFF
381,7/5/2022,FIELD
380,7/4/2022,SEVER
379,7/3/2022,LILAC
378,7/2/2022,EGRET
377,7/1/2022,PINTO
376,6/30/2022,HUTCH
375,6/29/2022,GAWKY
374,6/28/2022,DROLL
373,6/27/2022,RETRO
372,6/26/2022,RUSTY
371,6/25/2022,BEADY
370,6/24/2022,SMITE
369,6/23/2022,BRINK
368,6/22/2022,AWFUL
367,6/21/2022,GLOAT
366,6/20/2022,INPUT
365,6/19/2022,LOSER
364,6/18/2022,CACAO
363,6/17/2022,BLOWN
362,6/16/2022,APRON
361,6/15/2022,PRIMO
360,6/14/2022,ATONE
359,6/13/2022,DONOR
358,6/12/2022,FLOAT
357,6/11/2022,GOOSE
356,6/10/2022,PIETY
355,6/9/2022,GIRTH
354,6/8/2022,TRAIT
353,6/7/2022,FLOOD
352,6/6/2022,GLOOM
351,6/5/2022,DEPTH
350,6/4/2022,FROTH
349,6/3/2022,PHASE
348,6/2/2022,SHOWY
347,6/1/2022,CREAK
346,5/31/2022,MANOR
345,5/30/2022,ATOLL
344,5/29/2022,BAYOU
343,5/28/2022,CREPT
342,5/27/2022,TIARA
341,5/26/2022,ASSET
340,5/25/2022,VOUCH
339,5/24/2022,ALBUM
338,5/23/2022,HINGE
337,5/22/2022,MONEY
336,5/21/2022,SCRAP
335,5/20/2022,GAMER
334,5/19/2022,GLASS
333,5/18/2022,SCOUR
332,5/17/2022,BEING
331,5/16/2022,DELVE
330,5/15/2022,YIELD
329,5/14/2022,METAL
328,5/13/2022,TIPSY
327,5/12/2022,SLUNG
326,5/11/2022,FARCE
325,5/10/2022,GECKO
324,5/9/2022,SHINE
323,5/8/2022,CANNY
322,5/7/2022,MIDST
321,5/6/2022,BADGE
320,5/5/2022,HOMER
319,5/4/2022,TRAIN
318,5/3/2022,HAIRY
317,5/2/2022,STORY
316,5/1/2022,FORGO
315,4/30/2022,LARVA
314,4/29/2022,TRASH
313,4/28/2022,ZESTY
312,4/27/2022,SHOWN
311,4/26/2022,HEIST
310,4/25/2022,ASKEW
309,4/24/2022,INERT
308,4/23/2022,OLIVE
307,4/22/2022,PLANT
306,4/21/2022,OXIDE
305,4/20/2022,CARGO
304,4/19/2022,FOYER
303,4/18/2022,FLAIR
302,4/17/2022,AMPLE
301,4/16/2022,CHEEK
300,4/15/2022,SHAME
299,4/14/2022,MINCE
298,4/13/2022,CHUNK
297,4/12/2022,ROYAL
296,4/11/2022,SQUAD
295,4/10/2022,BLACK
294,4/9/2022,STAIR
293,4/8/2022,SCARE
292,4/7/2022,FORAY
291,4/6/2022,COMMA
290,4/5/2022,NATAL
289,4/4/2022,SHAWL
288,4/3/2022,FEWER
287,4/2/2022,TROPE
286,4/1/2022,SNOUT
285,3/31/2022,LOWLY
284,3/30/2022,STOVE
283,3/29/2022,SHALL
282,3/28/2022,FOUND
281,3/27/2022,NYMPH
280,3/26/2022,EPOXY
279,3/25/2022,DEPOT
278,3/24/2022,CHEST
277,3/23/2022,PURGE
276,3/22/2022,SLOSH
275,3/21/2022,THEIR
274,3/20/2022,RENEW
273,3/19/2022,ALLOW
272,3/18/2022,SAUTE
271,3/17/2022,MOVIE
270,3/16/2022,CATER
269,3/15/2022,TEASE
268,3/14/2022,SMELT
267,3/13/2022,FOCUS
266,3/12/2022,TODAY
265,3/11/2022,WATCH
264,3/10/2022,LAPSE
263,3/9/2022,MONTH
262,3/8/2022,SWEET
261,3/7/2022,HOARD
260,3/6/2022,CLOTH
259,3/5/2022,BRINE
258,3/4/2022,AHEAD
257,3/3/2022,MOURN
256,3/2/2022,NASTY
255,3/1/2022,RUPEE
254,2/28/2022,CHOKE
253,2/27/2022,CHANT
252,2/26/2022,SPILL
251,2/25/2022,VIVID
250,2/24/2022,BLOKE
249,2/23/2022,TROVE
248,2/22/2022,THORN
247,2/21/2022,OTHER
246,2/20/2022,TACIT
245,2/19/2022,SWILL
244,2/18/2022,DODGE
243,2/17/2022,SHAKE
242,2/16/2022,CAULK
241,2/15/2022,AROMA
240,2/14/2022,CYNIC
239,2/13/2022,ROBIN
238,2/12/2022,ULTRA
237,2/11/2022,ULCER
236,2/10/2022,PAUSE
235,2/9/2022,HUMOR
234,2/8/2022,FRAME
233,2/7/2022,ELDER
232,2/6/2022,SKILL
231,2/5/2022,ALOFT
230,2/4/2022,PLEAT
229,2/3/2022,SHARD
228,2/2/2022,MOIST
227,2/1/2022,THOSE
226,1/31/2022,LIGHT
225,1/30/2022,WRUNG
224,1/29/2022,COULD
223,1/28/2022,PERKY
222,1/27/2022,MOUNT
221,1/26/2022,WHACK
